row	col	x1	x2	y1	y2
A	1	220	725	597	1050
B	1	218	714	1050	1584
C	1	190	711	1584	2127
D	1	214	721	2127	2682
E	1	261	727	2682	3145
A	2	725	1288	565	1044
B	2	714	1272	1044	1591
C	2	711	1275	1591	2134
D	2	721	1285	2134	2660
E	2	727	1291	2660	3163
A	3	1288	1862	562	1026
B	3	1272	1854	1026	1580
C	3	1275	1854	1580	2131
D	3	1285	1857	2131	2664
E	3	1291	1860	2664	3178
A	4	1862	2433	558	1021
B	4	1854	2434	1021	1567
C	4	1854	2435	1567	2113
D	4	1857	2439	2113	2659
E	4	1860	2446	2659	3171
A	5	2433	3015	538	1024
B	5	2434	3020	1024	1555
C	5	2435	3030	1555	2116
D	5	2439	3028	2116	2664
E	5	2446	3029	2664	3172
A	6	3015	3596	529	1008
B	6	3020	3615	1008	1557
C	6	3030	3617	1557	2115
D	6	3028	3619	2115	2673
E	6	3029	3626	2673	3164
A	7	3596	4183	528	1002
B	7	3615	4197	1002	1561
C	7	3617	4205	1561	2119
D	7	3619	4213	2119	2667
E	7	3626	4213	2667	3150
A	8	4183	4674	537	1009
B	8	4197	4722	1009	1554
C	8	4205	4735	1554	2113
D	8	4213	4731	2113	2667
E	8	4213	4734	2667	3148
